"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/12/22 22:30","Mount Vernon","KY","USA","Disk","15 minutes","Rotating disk","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171724.html","364X2022.11.14.18.04.39",FALSE
"9/12/22 22:05","Thomaston","CT","USA","Disk","2 seconds","We saw a large ship completely lit up moving at an impossible speed across the sky for 2 seconds","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171712.html","365X2022.11.14.18.04.39",FALSE
"9/12/22 22:00","Kiowa","CO","USA","Light","All night","Several Bright lights in the sky. Float and will move closer.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171717.html","366X2022.11.14.18.04.39",FALSE
"9/12/22 21:19","Garson","ON","Canada","Triangle","60 to 90 seconds","Two triangular craft moving silently in a southerly direction towards my location, then westward up and out of sight. Velocity unknown.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171747.html","367X2022.11.14.18.04.39",FALSE
"9/12/22 19:55","North Chesterfield","VA","USA","Fireball","It is a still shot","It looks like something entering the atmosphere two objects glowing green","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171716.html","368X2022.11.14.18.04.39",FALSE
"9/12/22 15:30","Isle of Mull","Argyll and Bute","United Kingdom","Star","10 minutes","Unexplained fling object in sky.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171791.html","369X2022.11.14.18.04.39",FALSE
"9/12/22 13:15","Flushing","NY","USA","Unknown","5 minutes","Craft","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171734.html","370X2022.11.14.18.04.39",FALSE
"9/12/22 09:25","Mount Airy","NC","USA","Disk","Around 30 seconds","Strange object flying in a field.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171761.html","371X2022.11.14.18.04.39",FALSE
"9/12/22 04:31","San Diego","CA","USA","Unknown","~5-7 minutes","Not clusters from starlink satellites nor aircraft but very high and nearby flying and all emitting light. Came close then parted .","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171739.html","372X2022.11.14.18.04.39",FALSE
"9/11/22 23:22","Monks Corner","SC","USA","Oval","greater than 10 minutes","an oval, double disk, with green & red lights lights appeared near full moon and Jupiter.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171812.html","373X2022.11.14.18.04.39",FALSE
"9/11/22 21:30","Lakeville","MN","USA","Sphere","13-15 seconds","Spherical Object UFO Sighting","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171816.html","374X2022.11.14.18.04.39",FALSE
"9/11/22 21:16","Lubbock","TX","USA","Chevron","30 seconds","V-shaped object with about 8-10 dim white lights passed southbound directly over Lubbock, Texas.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171680.html","375X2022.11.14.18.04.39",FALSE
"9/11/22 20:35","Thornton","CO","USA","Circle","a few minutes, 3 passes","4 orange shapes moving through the night sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171721.html","376X2022.11.14.18.04.39",FALSE
"9/11/22 20:30","Miami Beach","FL","USA","Triangle","3-4 min","1craft was definitely triangle, the other was just a bright light.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171727.html","377X2022.11.14.18.04.39",FALSE
"9/11/22 20:23","Dubai","Dubai","United Arab Emirates","Light","spotted in photo only","I took a photo of moon. Spotted something on left side in that photo","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171851.html","378X2022.11.14.18.04.39",FALSE
"9/11/22 20:09","waterville","ME","USA","Light","approximately 7 secs.","we observed a red light appeared descending downward then changed to green/blue then ascended about 5 ft above the building and faded","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171686.html","379X2022.11.14.18.04.39",FALSE
"9/11/22 19:50","Oilton","OK","USA","Changing","Approximately 15 seconds","The object seemed to change shape and was a single light","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171679.html","380X2022.11.14.18.04.39",FALSE
"9/11/22 19:05","Albuquerque","NM","USA","Cylinder","About 1 minute","Black donut shaped craft","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171684.html","381X2022.11.14.18.04.39",FALSE
"9/11/22 18:20","Molino","FL","USA","Cigar","Appx five minutes","Looking out to the West sky a large iridescent bright UFO moving slowly across the sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171741.html","382X2022.11.14.18.04.39",FALSE
"9/11/22 18:20","Tuttle","OK","USA","Triangle","1 min.","Very large metal shinning the reflection of sun triangle UFO.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171742.html","383X2022.11.14.18.04.39",FALSE
"9/11/22 17:58","Waterbury","CT","USA","Sphere","50 seconds","Very large orange orb .it went dark and at point its was only visible with the phone camera not the naked eye","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171973.html","384X2022.11.14.18.04.39",FALSE
