"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"10/17/22 15:00","Shawnee","KS","USA","Cone","5 minutes","Object woth vapor trail descending for 5 mins woth 2 jets nearby. Wife & I have pics.","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172535.html","733X2023.01.29.09.41.02",FALSE
"10/17/22 06:30","Leominster","MA","USA","Disk","","Hovering then vanished i","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172319.html","734X2023.01.29.09.41.02",FALSE
"10/17/22 06:15","Georgetown","TX","USA","Light","3 minutes","A stationary light. Bright like a star, moved and followed an airplane then took off","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172650.html","735X2023.01.29.09.41.02",FALSE
"10/17/22 05:45","Saint Charles","MO","USA","Triangle","3 seconds","I saw a triangle craft pass by me over head with lights shining directly down located on each corner. Triangle shape was clear.","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172454.html","736X2023.01.29.09.41.02",FALSE
"10/17/22 01:11","Boise","ID","USA","Light","Maybe 1 or 2 seconds","What seemed like only a couple hundred feet above my house a bright neon green light the size of a minivan appeared and quickly darted","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172496.html","737X2023.01.29.09.41.02",FALSE
"10/16/22 22:55","Torrance","CA","USA","Fireball","30 seconds","Low hovering fireball","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172536.html","738X2023.01.29.09.41.02",FALSE
"10/16/22 21:40","Ghulewadi Sangamner","Maharashtra","India","Changing","20 Minutes","Me and my friends seen constant light in clouds. We have seen light not lighting. The exact shape of light is not over familiar.","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172526.html","739X2023.01.29.09.41.02",FALSE
"10/16/22 20:20","Boston","MA","USA","Cylinder","Several minutes","I spotted what I thought was a star but it was moving.","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172498.html","740X2023.01.29.09.41.02",FALSE
"10/16/22 19:13","Columbus","OH","USA","Light","","Flying lights","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172324.html","741X2023.01.29.09.41.02",FALSE
"10/16/22 19:11","DOYLESTOWN","PA","USA","Disk","2 minutes","Two people saw this","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172509.html","742X2023.01.29.09.41.02",FALSE
"10/16/22 18:30","Paramus","NJ","USA","Oval","On and off for an hour","Captured video of ZIG ZAGGING blinking stars moving sporadically","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172510.html","743X2023.01.29.09.41.02",FALSE
"10/16/22 17:00","Tempe","AZ","USA","Chevron","","Saw this boomerang shape object stationary high up in the sky.","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172322.html","744X2023.01.29.09.41.02",FALSE
"10/16/22 02:45","","","USA","Circle","20 seconds ,then it stop","By cutting a tree I heard a plane flying out of Austin's airport but the engine sounded very strained as if it were trying to divert","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172330.html","745X2023.01.29.09.41.02",FALSE
"10/16/22 02:17","Evansville","IN","USA","Light","Maybe 30 seconds?","Loud noise hovering over my home with blinking lights","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172343.html","746X2023.01.29.09.41.02",FALSE
"10/16/22 00:55","Bowie","MD","USA","Circle","30 seconds","Light from flying object caused doorbell to issue ""Person Detected"" alert","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172336.html","747X2023.01.29.09.41.02",FALSE
"10/15/22 23:33","Beacon","NY","","Changing","Non stop","Object in sky","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172347.html","748X2023.01.29.09.41.02",FALSE
"10/15/22 23:20","Hastings","MI","USA","Disk","40 Seconds","A flying saucer with headlights flying low to the ground.","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172345.html","749X2023.01.29.09.41.02",FALSE
"10/15/22 22:35","Leeds","Leeds","United Kingdom","Sphere","2 hours","Sphere like UAP, bright in light. Distance unknown","12/22/22","Yes","https://www.nuforc.org/webreports/reports/172/S172326.html","750X2023.01.29.09.41.02",FALSE
"10/15/22 21:52","Orlando (Specifically, Lockhart), FL","null","","Triangle","2 to 3 and a half minutes","I witnessed a commercial airliner that for a split second appeared as a triangle shaped UAP that then exibited time dilation.","12/22/22","","https://www.nuforc.org/webreports/reports/172/S172363.html","751X2023.01.29.09.41.02",FALSE
