"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1354","9/15/14 11:44",NA,NA,NA,"Cigar","5 seconds","See photos","3/4/22","Yes","https://www.nuforc.org/webreports/reports/165/S165997.html","971X2022.04.30.18.48.21",FALSE
"1355","9/13/14 00:57","Chester","Cheshire West and Chester","United Kingdom","Changing","10-15 minuets","Glowing ball seen then second brighter glowing object with human like figure appearing from it. Darker mass then expanding","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166414.html","972X2022.04.30.18.48.21",FALSE
"1356","8/31/14 21:30","Cannon Beach","OR","USA","Sphere","about 30 seconds","Large bright orange orb travelled south parallel to coastline and then rose up into the night sky.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166526.html","973X2022.04.30.18.48.21",FALSE
"1357","6/10/14 01:00","Clinton","TN","USA","Circle","3 - 5 minutes","Amber burning Orange color. 3 crafts almost as formation","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165917.html","974X2022.04.30.18.48.21",FALSE
"1358","3/15/14 19:17","New York","NY","USA","Circle","somewhere over 20 minutes","Glowing cyan blue object in night sky","3/4/22","Yes","https://www.nuforc.org/webreports/reports/165/S165961.html","975X2022.04.30.18.48.21",FALSE
"1359","10/23/13 00:15","Hoover","AL","USA","Other","5 minutes","4 T shaped amber objects","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166333.html","976X2022.04.30.18.48.21",FALSE
"1360","6/20/13 20:45","Mahopac","NY","USA","Cigar","5 minutes","Red and white lights hovering over the Secor Rd area","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166721.html","977X2022.04.30.18.48.21",FALSE
"1361","9/6/12 19:00","Warner","OK","USA","Light","90 seconds approximately","Very bright light about 20 degrees above the northern horizon.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166949.html","978X2022.04.30.18.48.21",FALSE
"1362","7/4/12 21:04","Greenport",NA,"USA","Circle","Several hours","Bright lights circulating in the sky for several hours","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166791.html","979X2022.04.30.18.48.21",FALSE
"1363","2/11/12 21:00","Hampden","MA","USA","Star","Maybe five minutes","I have a video of a plane following a UFO.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166603.html","980X2022.04.30.18.48.21",FALSE
"1364","11/23/11 19:15","Salinas","CA","USA","Diamond","1 minute or less","Large Floating Diamond Shaped Object Seen Floating 50 feet above neighbors house","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166433.html","981X2022.04.30.18.48.21",FALSE
"1365","7/4/11 21:00","Greenport","NY","USA","Circle","Several hours","Multiple bright circles oscillating across the sky for hours at a time","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166792.html","982X2022.04.30.18.48.21",FALSE
