"X","Date.Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
NA,"5/11/22 22:45","Comfort","TX","USA","Unknown","1 second","Looking out the window over the hay field a bright light shot across the eastern sky from south to north relatively low on the horizon.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167828.html","8X2022.06.05.10.29.06",NA
NA,"5/11/22 22:25","Nampa","ID","USA","Light","10 minutes","Flashing aircraft flying","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167833.html","9X2022.06.05.10.29.06",NA
NA,"5/11/22 22:15","Patrick Springs","VA","USA","Fireball","Maybe 30 secs","Green ball of light with no tail dropping out of sky.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167835.html","10X2022.06.05.10.29.06",NA
NA,"5/11/22 20:45","Morristown","TN","USA","Circle","20 minutes","We thought it was a planet, but no planets were able to be seen via Google sky at that time. We brought out a rudimentary telescope and","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167836.html","11X2022.06.05.10.29.06",NA
NA,"5/11/22 14:45","Loxahatchee","FL","USA","Cylinder","40 minutes then I left","Cloudy, windy, yet bright day. Never moved, quiet not floating.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167830.html","12X2022.06.05.10.29.06",NA
NA,"5/11/22 13:12","Wilsonville","OR","USA","Disk","Took photo over contrail","Did not see by eye. Saw in photo taken.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167842.html","13X2022.06.05.10.29.06",NA
NA,"5/11/22 12:20","Jacksonville","FL","USA","Disk","10 seconds","Disk , dark , 10 seconds","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167832.html","14X2022.06.05.10.29.06",NA
NA,"5/11/22 09:00","Miami","FL","USA","Rectangle","3 hours","Very high in the sky. Moved kinda slowly in unorganized pattern but overall heading west.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167811.html","15X2022.06.05.10.29.06",NA
NA,"5/11/22 04:48","Florence","CO","USA","Light","4 TO 5 MIN","I OBSERVED APPROX. 60 LIGHTS IN THE SKY MOVING FROM WEST TO EAST AT 4:48 A.M. ON 5-11-22 ALL IN A SINGLE ROWE. ((Starlink satellites))","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167844.html","16X2022.06.05.10.29.06",NA
NA,"5/11/22 03:47","Amman","Amman Governorate","Jordan","Triangle","Less than a minute","Triangular-shaped UFO sighted flying over Amman, Jordan","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167845.html","17X2022.06.05.10.29.06",NA
NA,"5/10/22 22:30","Pangburn","AR","USA","Circle","One to two Minutes","The night sky was overcast and the Red ""star"" I saw was the only light in the sky. It stayed motionless and then flickered out.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167868.html","18X2022.06.05.10.29.06",NA
NA,"5/10/22 18:17","Middletown","RI","USA","Cigar","5-10 Seconds","Bright Tic Tac Shaped UAP / UFO over Newport RI","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167846.html","19X2022.06.05.10.29.06",NA
NA,"5/10/22 18:10","Athens","GA","USA","Disk","20 seconds","Very shinny bright light.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167849.html","20X2022.06.05.10.29.06",NA
NA,"5/10/22 07:10","Coral Gables","FL","USA","Other","5 minutes","The craft was stationary. In a few minutes it disappeared.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167809.html","21X2022.06.05.10.29.06",NA
NA,"5/10/22 06:44","Charlotte","NC","USA","Light","35 seconds","Light in the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167847.html","22X2022.06.05.10.29.06",NA
NA,"5/9/22 23:00","","","USA","Changing","3hours","Some were white. Others were very high in air.they hovering some were going dark and they were all not making any sound","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167848.html","23X2022.06.05.10.29.06",NA
NA,"5/9/22 22:25","Nampa","ID","USA","Light","10 minutes","I saw 3 aircraft flying in different directions","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167769.html","24X2022.06.05.10.29.06",NA
NA,"5/9/22 21:48","Scarsdale","NY","USA","Oval","One minute","I looked up at the night sky from my driveway. Object moving across the sky at a high speed was solid white","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167772.html","25X2022.06.05.10.29.06",NA
NA,"5/9/22 20:35","New York","NY","USA","Unknown","5 minutes","3 airborne objects lit with orange lights seen over Manhattan","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167850.html","26X2022.06.05.10.29.06",NA
NA,"5/9/22 17:10","Grayson","","","","Spam","((HOAX))  11111","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167686.html","27X2022.06.05.10.29.06",NA
NA,"5/9/22 14:06","Boca Raton","FL","USA","Other","15-20 mins","Object about 10k feet high did not move as it hovered.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167771.html","28X2022.06.05.10.29.06",NA
NA,"5/9/22 12:00","Ragged point","CA","USA","Egg","4 seconds","The object moved very fast east to west going over the ocean in just a few seconds at an estimated altitude of 5000 ft","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167810.html","29X2022.06.05.10.29.06",NA
NA,"5/8/22 23:30","Hailey","ID","USA","Sphere","Seconds","A bright round light","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167784.html","30X2022.06.05.10.29.06",NA
NA,"5/8/22 22:30","Fort Lauderdale","FL","USA","Unknown","15 seconds","Two glowing orange lights moved rapidly across the sky keeping a constant distance between them and then climbed rapidly out of sight","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167787.html","31X2022.06.05.10.29.06",NA
